m,mg/L,%,°C,,µS/cm,µmol m-2 s-1,µmol m-2 s-1,µmol m-2 s-1,µmol m-2 s-1,m,m^-1,m^-1,m^-1,m^-1,µmol m-2 s-1,µmol m-2 s-1,µmol m-2 s-1,µmol m-2 s-1,,,,%,%,%
Depth,O2_abs,O2_rel,Temperature,pH,Conductivity,Light_intensity,Light_intensity_green,Light_intensity_red,Light_intensity_blue,Secchi_depth,light_attenuation,green_attenuation,red_attenuation,blue_attenuation,light_calc,green_calc,red_calc,blue_calc,euphotic_zone,light_color,relative_intensity,green_rel,red_rel,blue_rel
0,8.68,108.7,22.7,8.37,240,482,104,12.4,3.7,9.3,,,,,482,104,12.4,3.7,13.1805725437721,green,100,100,100,100
1,10.12,121.2,20.5,8.36,244,340,76,8.8,2.6,9.6,0.348998496440393,0.313657558855042,0.34294475112683,0.352821374622742,352.957180288979,77.7519786058871,8.48793715792233,2.32595125925434,13.1936490973928,green,74.7615178902761,74.7615178902761,68.4511061122769,62.8635475474146
2,10.04,114.2,18.2,8.34,246,240,59,5.7,1.2,9.5,0.348652595354305,0.283426727617827,0.388615148885243,0.563005631428112,258.462180741798,58.1285593954839,5.81008687071279,1.46217547579104,14.0103334491066,green,55.8928455725807,55.8928455725807,46.8555392799419,39.5182561024605
3,10.61,117.3,16.8,8.31,244,180,41,4.2,0.9,9.1,0.32832908772013,0.310272944145688,0.360870649107223,0.471231111769335,189.265731381671,43.4577933318144,3.97706872908708,0.919175375450537,14.457801005435,green,41.7863397421292,41.7863397421292,32.0731349119926,24.8425777148794
4,10.23,112.3,16.2,8.27,241,135,37,2.6,0.6,,0.318167333903043,0.258368246624287,0.390546256895889,0.454789610854042,138.594810941506,32.4897059364836,2.72234753590558,0.577826249190475,14.1619753678067,green,31.2401018620035,31.2401018620035,21.9544156121418,15.6169256537966
5,11.65,123.3,14.7,8.36,239,95,28,1.8,0.4,,0.324813444490012,0.262437277793234,0.385981961541775,0.444924710304867,101.489696416179,24.2897973162023,1.86347700054768,0.363242078901296,13.9870665623191,green,23.3555743425022,23.3555743425022,15.0280403269974,9.81735348381881
6,12.36,127.2,13.4,,,67,19,1.2,0.25,,0.328875249109939,0.283325319995822,0.389229152636173,0.449104530128345,74.3185001565124,18.1594211660644,1.27557061902277,0.228346856982334,14.0849764021904,green,17.4609818904465,17.4609818904465,10.2868598308288,6.17153667519822
7,12.39,125,12.4,8.43,232,49,13.5,0.78,0.14,,0.326589116562853,0.291671601956713,0.395165404558499,0.467777953717573,54.4216768849557,13.5762589038378,0.873142197964303,0.143546935012116,14.0318978838017,green,13.054095099844,13.054095099844,7.0414693384218,3.87964689221935
8,11.87,116.7,11.2,,,35,11.8,,0.07,,0.327824506570148,0.272036420958719,,0.49594910707287,39.8517046056263,10.1498172292229,0.597675492439611,0.090238695744198,13.9908903594242,green,9.75943964348356,9.75943964348356,4.81996364870654,2.43888366876211
9,11.06,106.1,10.2,8.25,232,25,7.3,,0.05,,0.328785365464711,0.295168505665225,,0.478229454800463,29.1824591023054,7.58815742365579,0.409115485536912,0.0567272454053207,14.0392747858945,green,7.29630521505364,7.29630521505364,3.29931843174929,1.5331687947384
10,10.74,101.7,9.7,,,18.2,4.9,,,,0.327652251996785,0.305515569402479,,,21.3696233996849,5.67302166982874,0.280044075126628,0.0356607588877123,,green,5.45482852868148,5.45482852868148,2.25841996069861,0.963804294262495
11,,,,8.11,236,,,,,,,,,,15.6484689190668,4.24123711060825,0.191693267026073,0.0224176181191459,14.3169997693025,green,4.07811260635409,4.07811260635409,1.54591344375865,0.605881570787727
12,10.44,95.9,8.4,,,10.2,2.6,,,,0.321296366146698,0.307406621176161,,,11.4590030404845,3.17081324121641,0.131216161622107,0.0140925100253271,,green,3.04885888578501,3.04885888578501,1.05819485179119,0.380878649333165
13,,,,,242,,,,,,,,,,8.39115643587604,2.37054810859925,0.0898189140284054,0.00885905174039569,14.4550918036924,green,2.27937318134543,2.27937318134543,0.724346080874237,0.239433830821505
14,10.15,90,7.1,8.02,,5.6,1.4,,,,0.318226965450678,0.307708475894297,,,6.14464505180607,1.77225774830803,0.0614820401504785,0.0055691142030737,,green,1.70409398875772,1.70409398875772,0.495822904439343,0.150516600083073
15,,,,,245,,,,,,,,,,4.4995779903778,1.32496679356311,0.0420851365433967,0.00350094275501906,15.2793223266007,green,1.27400653227222,1.27400653227222,0.339396262446748,0.0946200744599746
16,9.24,80.5,6.3,,,3.9,1,,,,0.301060472557188,0.290274431196336,,,3.29493435679273,0.990565286409902,0.0288077414728171,0.00220081681340917,,green,0.952466621547983,0.952466621547983,0.232320495748525,0.0594815354975451
17,,,,7.91,250,,,,,,,,,,2.41280236475279,0.740561643814203,0.0197192176841084,0.00138351152392897,,green,0.712078503667503,0.712078503667503,0.15902594906539,0.0373922033494316
19,8.72,74.4,5.4,,,,,,,,,,,,1.29381361181115,0.413920975946838,0.00923954578767467,0.000546739627233306,16.9241879019013,green,0.398000938410421,0.398000938410421,0.0745124660296345,0.0147767466819812
20,,,,7.85,252,2.1,,,,,0.271800338466061,,,,0.947429054448885,0.3094536044841,0.0063245712914136,0.000343699925526366,,green,0.297551542773173,0.297551542773173,0.0510046071888194,0.00928918717638827
22,8.13,68.5,5,,,,,,,,,,,,0.508038546703317,0.172962425273083,0.00296341198573622,0.000135824216793476,19.0454671174802,green,0.166310024301041,0.166310024301041,0.0238984837559373,0.00367092477820205
25,7.3,61.2,4.8,7.76,256,1.15,,,,,0.241527286867018,,,,0.199490222223827,0.0722746666508368,0.000950459124183338,3.37422366125454E-05,20.6315967523569,green,0.0694948717796508,0.0694948717796508,0.0076649929369624,0.000911952340879606
30,5.55,46.3,4.6,7.67,259,0.6,,,,,0.222958991260553,,,,0.0420045686545483,0.0168801635004318,0.000142835380473899,3.31259464160012E-06,,green,0.0162309264427229,0.0162309264427229,0.00115189822962822,8.95295849081113E-05
0,,,,,,,,,,,,,,,,,,,,red,100,,,
1,,,,,,,,,,,0.311597366772532,0.290866900098602,0.379050474964519,0.464203720522039,,,,,,red,68.4511061122769,,,
2,,,,,,,,,,,,,,,,,,,,red,46.8555392799419,,,
3,,,,,,,,,,,,,,,,,,,,red,32.0731349119926,,,
4,,,,,,,,,,,,,,,,,,,,red,21.9544156121418,,,
5,,,,,,,,,,,,,,,,,,,,red,15.0280403269974,,,
6,,,,,,,,,,,,,,,,,,,,red,10.2868598308288,,,
7,,,,,,,,,,,,,,,,,,,,red,7.0414693384218,,,
8,,,,,,,,,,,,,,,,,,,,red,4.81996364870654,,,
9,,,,,,,,,,,,,,,,,,,,red,3.29931843174929,,,
10,,,,,,,,,,,,,,,,,,,,red,2.25841996069861,,,
11,,,,,,,,,,,,,,,,,,,,red,1.54591344375865,,,
12,,,,,,,,,,,,,,,,,,,,red,1.05819485179119,,,
13,,,,,,,,,,,,,,,,,,,,red,0.724346080874237,,,
14,,,,,,,,,,,,,,,,,,,,red,0.495822904439343,,,
15,,,,,,,,,,,,,,,,,,,,red,0.339396262446748,,,
16,,,,,,,,,,,,,,,,,,,,red,0.232320495748525,,,
17,,,,,,,,,,,,,,,,,,,,red,0.15902594906539,,,
19,,,,,,,,,,,,,,,,,,,,red,0.0745124660296345,,,
20,,,,,,,,,,,,,,,,,,,,red,0.0510046071888194,,,
22,,,,,,,,,,,,,,,,,,,,red,0.0238984837559373,,,
25,,,,,,,,,,,,,,,,,,,,red,0.0076649929369624,,,
30,,,,,,,,,,,,,,,,,,,,red,0.00115189822962822,,,
0,,,,,,,,,,,,,,,,,,,,blue,100,,,
1,,,,,,,,,,,,,,,,,,,,blue,62.8635475474146,,,
2,,,,,,,,,,,,,,,,,,,,blue,39.5182561024605,,,
3,,,,,,,,,,,,,,,,,,,,blue,24.8425777148794,,,
4,,,,,,,,,,,,,,,,,,,,blue,15.6169256537966,,,
5,,,,,,,,,,,,,,,,,,,,blue,9.81735348381881,,,
6,,,,,,,,,,,,,,,,,,,,blue,6.17153667519822,,,
7,,,,,,,,,,,,,,,,,,,,blue,3.87964689221935,,,
8,,,,,,,,,,,,,,,,,,,,blue,2.43888366876211,,,
9,,,,,,,,,,,,,,,,,,,,blue,1.5331687947384,,,
10,,,,,,,,,,,,,,,,,,,,blue,0.963804294262495,,,
11,,,,,,,,,,,,,,,,,,,,blue,0.605881570787727,,,
12,,,,,,,,,,,,,,,,,,,,blue,0.380878649333165,,,
13,,,,,,,,,,,,,,,,,,,,blue,0.239433830821505,,,
14,,,,,,,,,,,,,,,,,,,,blue,0.150516600083073,,,
15,,,,,,,,,,,,,,,,,,,,blue,0.0946200744599746,,,
16,,,,,,,,,,,,,,,,,,,,blue,0.0594815354975451,,,
17,,,,,,,,,,,,,,,,,,,,blue,0.0373922033494316,,,
19,,,,,,,,,,,,,,,,,,,,blue,0.0147767466819812,,,
20,,,,,,,,,,,,,,,,,,,,blue,0.00928918717638827,,,
22,,,,,,,,,,,,,,,,,,,,blue,0.00367092477820205,,,
25,,,,,,,,,,,,,,,,,,,,blue,0.000911952340879606,,,
30,,,,,,,,,,,,,,,,,,,,blue,8.95295849081113E-05,,,
